Title,URL/Path,File Type,Interactive/Has Notebook or Colab,Outdated Technologies Present,Old PyTorch Version References,Deprecation Warnings,Information Flow and Structure,Follows Template,Spelling/Grammar/Formatting Issues,Level (Beginner/Intermediate/Advanced),Page Category,Target Audience,Date Created,Last Modified/Updated,Author(s)
index.md,/docs/index.md,Markdown,Yes - Colab badge linked,None found,None found,Yes - Experimental stage warning about bugs and API changes,Good - Has hero section with clear CTAs to Quick Start and Environment Builder,No - Landing page format,None found,Beginner,Quick Start / Landing Page,RL researchers and framework writers looking to use or create agentic environments,Unknown,Unknown,Unknown
quickstart.md,/docs/quickstart.md,Markdown,No notebook but shows code examples,None found,None found,None,Excellent - Clear installation steps followed by progressive examples (Echo -> HuggingFace -> Docker -> AutoEnv -> Local),No - Tutorial/guide format,None found,Beginner,Quick Start / Guide,New users wanting to get started with OpenEnv environments quickly,Unknown,Unknown,Unknown
cli.md,/docs/cli.md,Markdown,No,None found,None found,None,Good - Lists CLI commands with autodoc references,No - Reference format using mkdocstrings,None found,Intermediate,Reference,Environment creators who need CLI commands for building/validating/pushing environments,Unknown,Unknown,Unknown
core.md,/docs/core.md,Markdown,No,None found,None found,None,Good - Lists core API components with autodoc references,No - API reference format using mkdocstrings,None found,Advanced,Reference,Developers building custom environments or extending OpenEnv core,Unknown,Unknown,Unknown
environment-builder.md,/docs/environment-builder.md,Markdown,Yes - Colab link at end,None found,None found,None,Excellent - Step-by-step guide from scaffolding to deployment with clear numbered sections,Partially - Well-structured step-by-step tutorial,None found,Intermediate,Tutorial / Guide,Environment creators wanting to build and deploy custom OpenEnv environments,Unknown,Unknown,Unknown
environments.md,/docs/environments.md,Markdown (HTML heavy),No,None found,None found,None,Good - Grid layout of environment cards with links,No - Catalog/index format with HTML cards,Possible issue: Grid World card is outside the main grid div,Beginner,Reference / Catalog,Users exploring available environments,Unknown,Unknown,Unknown
auto-discovery.md,/docs/auto-discovery.md,Markdown,No,None found,None found,None,Excellent - Comprehensive API documentation with examples for AutoEnv and AutoAction,No - API documentation format,None found,Intermediate,Reference / Guide,Users wanting to use auto-discovery for loading environments without manual imports,Unknown,Unknown,Unknown
docs/README.md,/docs/README.md,Markdown,No,None found,None found,None,Good - Simple 3-step workflow for docs contributors,No - Internal workflow doc,None found,Beginner,Guide (Internal),Documentation contributors,Unknown,Unknown,Unknown
tutorials/openenv-tutorial.md,/docs/tutorials/openenv-tutorial.md,Markdown,Yes - Interactive tutorial format with emojis,None found,None found,None,Excellent - Progressive tutorial from basics to advanced with emojis and clear sections,Partially - Tutorial format but with unique presentation,None found,Beginner to Intermediate,Tutorial,New users learning OpenEnv from scratch with hands-on examples,Unknown,Unknown,Unknown
tutorials/wordle-grpo.md,/docs/tutorials/wordle-grpo.md,Markdown,Yes - Colab badge and TRL notebook link,None found,None found,None,Excellent - Complete tutorial with code examples and training output,Partially - Notebook-style tutorial with code blocks,Code blocks use escaped backticks (\`\`\`) which may not render correctly,Intermediate to Advanced,Tutorial,Researchers training LLMs with GRPO using OpenEnv and TRL,Unknown,Unknown,Unknown
README.md,/README.md,Markdown,Yes - Colab badge linked,None found,None found,Yes - Early Development Warning about experimental stage,Excellent - Complete overview with architecture diagrams and quick start,No - Main repository README format,None found,Beginner,Quick Start / Overview,All users - entry point to the project,Unknown,Unknown,Unknown
environments/atari.md,/docs/environments/atari.md,Markdown (include),No (but links to underlying README),None found,None found,None,Excellent - Comprehensive with architecture diagram and game list and API reference,No - Environment documentation format,None found,Intermediate,Reference,RL researchers working with Atari games,Unknown,Unknown,Unknown
environments/browsergym.md,/docs/environments/browsergym.md,Markdown (include),No,None found,None found,None,Excellent - Detailed benchmark comparison and task tables,No - Environment documentation format,None found,Advanced,Reference / Guide,Web agent researchers using BrowserGym for training and evaluation,Unknown,Unknown,Unknown
environments/chat.md,/docs/environments/chat.md,Markdown (include),No,None found,None found,None,Good - Overview of direct and HTTP client usage with code examples,No - Environment documentation format,None found,Intermediate,Reference,Developers building chat-based RL agents,Unknown,Unknown,Unknown
environments/chess.md,/docs/environments/chess.md,Markdown (include),Yes - links to HuggingFace Space demo,None found,None found,None,Good - Clear observation/action/reward tables,No - Environment documentation format,None found,Intermediate,Reference,RL researchers training chess agents,Unknown,Unknown,Unknown
environments/coding.md,/docs/environments/coding.md,Markdown (include),No,None found,None found,None,Good - Clear action/observation/state documentation,No - Environment documentation format,None found,Intermediate,Reference,Developers building code execution agents,Unknown,Unknown,Unknown
environments/dipg.md,/docs/environments/dipg.md,Markdown (include),No,None found,None found,None,Excellent - Detailed reward architecture evolution (V1->V2->V3) with rationale,No - Environment documentation format,None found,Advanced,Reference,AI Safety researchers working on medical domain reliability,Unknown,Unknown,Unknown
environments/echo.md,/docs/environments/echo.md,Markdown (include),No,None found,None found,None,Good - Simple reference for testing environment,No - Environment documentation format,None found,Beginner,Reference,New users testing OpenEnv setup,Unknown,Unknown,Unknown
environments/finrl.md,/docs/environments/finrl.md,Markdown (include),No,None found,None found,None,Excellent - Complete with architecture diagram and API reference and integration examples,No - Environment documentation format,None found,Advanced,Reference,RL researchers working on financial trading,Unknown,Unknown,Unknown
environments/git.md,/docs/environments/git.md,Markdown (include),No,None found,None found,None,Good - Architecture diagram and action reference,No - Environment documentation format,Security notes section is good practice,Intermediate,Reference,Developers building Git-based RL agents,Unknown,Unknown,Unknown
environments/openspiel.md,/docs/environments/openspiel.md,Markdown (include),Yes - HuggingFace Space deployment info,None found,None found,None,Excellent - Game-specific information tables and configuration,No - Environment documentation format,None found,Intermediate,Reference,Game theory and RL researchers,Unknown,Unknown,Unknown
environments/snake.md,/docs/environments/snake.md,Markdown (include),No,None found,None found,None,Good - Clear action space and configuration documentation,No - Environment documentation format,None found,Beginner,Reference,RL beginners learning with classic game,Unknown,Unknown,Unknown
environments/sumo.md,/docs/environments/sumo.md,Markdown (include),No,None found,None found,None,Excellent - Architecture diagram and performance notes,No - Environment documentation format,None found,Advanced,Reference,Traffic control and smart city researchers,Unknown,Unknown,Unknown
environments/textarena.md,/docs/environments/textarena.md,Markdown (include),No,None found,None found,None,Good - Clear observation and state documentation,No - Environment documentation format,None found,Intermediate,Reference,Language game and reasoning researchers,Unknown,Unknown,Unknown
environments/repl.md,/docs/environments/repl.md,Markdown (include),Yes - Links to RLM paper and examples,None found,None found,None,Excellent - Comprehensive API reference with finalization patterns and prompts module,No - Environment documentation format,None found,Advanced,Reference / Guide,Researchers training LLMs on code execution (RLM paradigm),Unknown,Unknown,Unknown
environments/openapp.md,/docs/environments/openapp.md,Markdown (include),No but has demo GIF,None found,None found,None,Excellent - Directory structure and installation options with troubleshooting,No - Environment documentation format,None found,Advanced,Reference / Guide,UI agent researchers and web automation developers,Unknown,Unknown,Unknown
environments/unity.md,/docs/environments/unity.md,Markdown (include),Yes - Demo GIFs of environments,None found,None found,None,Excellent - Multiple installation options with command line reference table,No - Environment documentation format,Good Apple Silicon troubleshooting section,Advanced,Reference / Guide,Unity ML-Agents and RL researchers,Unknown,Unknown,Unknown
environments/websearch.md,/docs/environments/websearch.md,Markdown (include),No,None found,None found,None,Good - Clear API key setup instructions,No - Environment documentation format,None found,Intermediate,Reference,Researchers building web search agents,Unknown,Unknown,Unknown
environments/tbench2.md,/docs/environments/tbench2.md,Markdown (include),No,None found,None found,None,Good - Clear action types table and execution mode comparison,No - Environment documentation format,None found,Advanced,Reference,Terminal/CLI agent researchers using TB2,Unknown,Unknown,Unknown
